winner,roundname,home_score,away_behinds,away_score,year,home_behinds,away_goals,away_team,venue,home_goals,home_team,points_away,points_home,state
Western Bulldogs,Round 1,97,3.0,87,2015,13.0,14.0,West Coast,Docklands,14.0,Western Bulldogs,17.0,27.0,Victoria
Greater Western Sydney,Round 1,78,15.0,87,2015,12.0,12.0,Greater Western Sydney,Docklands,11.0,St Kilda,27.0,23.0,Victoria
Adelaide,Round 1,140,9.0,63,2015,14.0,9.0,North Melbourne,Adelaide Oval,21.0,Adelaide,18.0,35.0,South Australia
Fremantle,Round 1,75,8.0,68,2015,9.0,10.0,Port Adelaide,Subiaco,11.0,Fremantle,18.0,20.0,Western Australia
Hawthorn,Round 1,123,13.0,61,2015,21.0,8.0,Geelong,M.C.G.,17.0,Hawthorn,21.0,38.0,Victoria
West Coast,Round 2,131,8.0,62,2015,11.0,9.0,Carlton,Subiaco,20.0,West Coast,17.0,31.0,Western Australia
Western Bulldogs,Round 2,66,13.0,85,2015,12.0,12.0,Western Bulldogs,M.C.G.,9.0,Richmond,25.0,21.0,Victoria
Greater Western Sydney,Round 2,101,8.0,56,2015,11.0,8.0,Melbourne,UNSW Canberra Oval,15.0,Greater Western Sydney,16.0,26.0,New South Wales
Adelaide,Round 2,63,18.0,90,2015,9.0,12.0,Adelaide,Docklands,9.0,Collingwood,30.0,18.0,Victoria
St Kilda,Round 2,76,8.0,104,2015,16.0,16.0,St Kilda,Carrara,10.0,Gold Coast,24.0,26.0,Queensland
Sydney,Round 2,44,8.0,92,2015,8.0,14.0,Sydney,Adelaide Oval,6.0,Port Adelaide,22.0,14.0,South Australia
Fremantle,Round 2,60,14.0,104,2015,6.0,15.0,Fremantle,GMHBA Stadium,9.0,Geelong,29.0,15.0,Victoria
Essendon,Round 2,78,10.0,76,2015,6.0,11.0,Hawthorn,M.C.G.,12.0,Essendon,21.0,18.0,Victoria
North Melbourne,Round 2,133,9.0,51,2015,13.0,7.0,Brisbane Lions,Docklands,20.0,North Melbourne,16.0,33.0,Victoria
Collingwood,Round 3,140,6.0,66,2015,14.0,10.0,St Kilda,M.C.G.,21.0,Collingwood,16.0,35.0,Victoria
Essendon,Round 3,84,9.0,105,2015,18.0,16.0,Essendon,M.C.G.,11.0,Carlton,25.0,29.0,Victoria
Adelaide,Round 3,80,13.0,55,2015,8.0,7.0,Melbourne,Adelaide Oval,12.0,Adelaide,20.0,20.0,South Australia
